,location_id,count
106,2fad3dce-69ce-45f7-99f4-aace954fcd8b,7
70,b50f9445-ccbe-4cbb-90c8-4e4caf5cab97,7
132,3ff9fcdd-8f25-4bc4-8fa2-ec464120e7ef,7
26,b530fc17-3ba5-4160-9794-d48d53d28fdd,7
43,f91f3b9f-3828-47e6-ba2e-c52e91909bb5,7
49,cd245f42-a311-4a58-a816-d069d421b00c,6
119,1aebc02f-05b3-49fd-aabc-fad00c0dba0a,6
202,78b073c1-b0de-4aa9-a531-7819f0ffe493,6
148,957f7a36-2119-492b-bb00-52b2d04df38c,6
166,b2ae82f8-add5-4cb7-88ae-f20012535494,6
89,179e8c97-429e-40e1-af4d-f70881ff96b5,6
40,da507528-84ee-470e-9140-b839fb5c49ed,6
25,b164cc74-269c-4fbc-af32-7547f7602366,6
11,95f09f28-84de-4a40-bd93-277bbdaa68b0,6
12,bea76389-4999-4861-a2ad-66f891dfd36f,6
181,d436341a-5432-4363-8387-3b63c565b2a9,5
169,1518269e-a212-4ca9-8cd3-102942e57c66,5
258,b77d530e-06b1-493d-85d6-d2264d9be77c,5
198,9a1c0239-c7c9-4e0f-a0dc-a69bd9b7ba16,5
74,b0568908-befb-4b97-a8e5-4cce2981f49e,5
78,147c5934-15fb-4345-9988-96ec7d0d1329,5
79,854925cd-6820-4a02-b31c-6bae21a4e85f,5
4,a87a0edd-b0e5-4f30-a10d-2dad53b1023e,5
45,bc6a5238-d2fb-4c5f-aed0-1c676f30b285,5
243,45dcfcc2-6cdd-485e-b5c4-c3515ffbd7b1,5
134,4fc64e3b-b7d7-4d47-8bc1-17fe8f32816b,5
231,cc0892b0-5604-4704-9449-261e0b6a76f4,5
146,1b420356-6782-479e-bc36-3060cda0c65f,5
112,7a8a22b7-1373-41a2-a674-ed5c7026f3f1,5
144,56d261b5-f7f2-4e63-bc6c-ec508cfb2287,5
109,0393e104-6057-4426-80ad-09fe4f7b4dc8,5
111,d6944deb-fea1-40e8-88d5-214d4c60fe62,5
97,57523bdd-fdf0-4b96-a689-6d4e22bbd68c,5
67,34ace64b-15ac-44d1-9b3a-ab88f90c793e,5
66,72400399-0dac-4bb2-b236-eeb4ed258ea0,5
56,d830711e-1f80-4958-a035-b5367ba3d587,5
99,77e16f2b-9361-4e65-ba12-026748860d41,5
98,19ce714b-bbf8-4431-8003-228b1d848732,5
31,118bc0eb-3685-4bc9-984f-369d09c3b71c,5
18,bf681072-f752-4f5e-84ca-72f7e928eb7a,5
20,cb26fdb8-eeb8-4b06-8a7e-69b602675a14,5
222,3a41e2c2-581f-414d-a6f0-39e57a45f66f,4
210,2c3d9284-afb4-4c9d-bf9c-3f464e266d4c,4
211,a9f3bc26-e8c4-437d-9cd7-d77180f288a4,4
131,cb0f3ed1-6147-4e62-94f6-f9ecad16cdb1,4
58,917ae3b9-87e6-4717-b77a-9d3313bcf5c8,4
216,74481e61-072d-4d6c-a2ff-7b597fbbda7f,4
218,f73554ab-9431-4316-8c8c-7c13c34a54c8,4
57,cb4283d0-b38a-4f69-a420-2952c0e3877f,4
122,5aad1608-16dd-43c8-aef0-90f27d843404,4
145,20d3d10c-ca7f-4c2b-8477-b26e19aa0734,4
96,d279818d-b125-41dd-97c5-c34eba4f50f8,4
150,de31f49e-e151-493b-ab5f-076e76823019,4
128,4bbc1b06-5501-4770-8fa2-6edda319df55,4
300,5fa61d63-5705-413d-8e19-fff119d53780,4
10,5007c76f-95c3-4e0a-beac-ced64005fd52,4
154,0c680163-785e-46a1-9db7-b29952445ab7,4
157,f403c990-15db-4791-be9a-4a2d8c7d5b38,4
159,289dc1ae-ca16-4f1f-a16b-3d0773282218,4
13,b4123f67-b4c2-4f9c-bce4-bc8618e0da5b,4
2,b6893aac-fb26-416e-92c7-1c50d95463ce,4
3,d54ac3d1-5ab8-4e4f-97eb-4b1078313042,4
7,5d7cc8d6-c887-4b6c-8325-e3dbacd4835f,4
21,423f1912-ed5a-4155-af3c-ef4cdcab4bec,4
8,0df89e8a-6c67-40fc-82ee-b5288d7f4ad2,4
9,a8065eb5-63f7-418c-93f9-1c52a8c1803f,4
118,c6290c0c-3bfd-4b51-84fb-ea99a9f1b806,4
126,c50ef81e-38ef-4afa-848d-de461b677d09,4
272,1854d883-bf04-474c-8822-d5f22f871f24,4
55,65942118-068e-45d6-ac54-338edd35f503,4
42,6fc48114-640e-4e0b-bc9a-388d3ad83ef5,4
46,697e59c6-2dc7-4844-9eac-e69d96c5aa0e,4
32,4ca0e518-506e-446a-91e8-c3af92978533,4
37,643d0372-3a8f-4e48-939f-93e55ab006c3,4
273,b1f44bbc-3694-44a8-8998-1ecfaf77b2f4,4
28,cbabdf37-2c26-4140-9ffc-807da5c63599,4
183,281b4c83-f437-4050-b1a9-c7d57f22b6ff,4
24,cd4bcad7-ba4a-4c3b-a008-070acd38ef1a,4
171,65cf0fa5-b060-414f-9665-3ea993b9de69,4
175,2efffcb1-8eb2-41e3-96b1-7447e22cb111,4
285,3bcb4cc7-a544-44bd-8d3a-2e0efa5f5c9c,4
259,9c47d96b-0261-4039-bb9e-e85a28f95b0a,4
84,3df091d6-60b9-424d-9438-8813b9dab55d,4
59,4ca24af2-daa1-4494-9361-71c6a2bbb4ac,4
187,ebcf5118-9987-449b-9103-7af029f3f21e,4
179,2095cf15-8a0f-4b16-809c-851c2745bfdc,4
6,d0ee8fbc-5ec0-4f62-8bde-509dad10be69,4
114,2db259e6-9e8b-4c55-a826-172ee16cd914,4
